1 ; 0
1.004 ; 0
1.008 ; 0
1.012 ; 0
1.016 ; 0.0439427
1.02 ; 0.0549398
1.024 ; 0.0659555
1.028 ; 0.0769934
1.032 ; 0.0880666
1.036 ; 0.0991246
1.04 ; 0.110188
1.044 ; 0.121255
1.048 ; 0.132312
1.052 ; 0.143393
1.056 ; 0.154481
1.06 ; 0.165575
1.064 ; 0.176666
1.068 ; 0.187769
1.072 ; 0.198876
1.076 ; 0.209977
1.08 ; 0.22109
1.084 ; 0.232206
1.088 ; 0.243324
1.092 ; 0.254435
1.096 ; 0.265555
1.1 ; 0.276677
1.104 ; 0.287798
1.108 ; 0.298911
1.112 ; 0.310031
1.116 ; 0.32115
1.12 ; 0.332267
1.124 ; 0.343374
1.128 ; 0.354486
1.132 ; 0.365596
1.136 ; 0.376693
1.14 ; 0.387795
1.144 ; 0.398892
1.148 ; 0.409985
1.152 ; 0.421064
1.156 ; 0.432145
1.16 ; 0.44322
1.164 ; 0.454288
1.168 ; 0.465341
1.172 ; 0.476395
1.176 ; 0.48744
1.18 ; 0.498469
1.184 ; 0.509497
1.188 ; 0.520515
1.192 ; 0.531524
1.196 ; 0.542515
1.2 ; 0.553503
1.204 ; 0.564479
1.208 ; 0.575444
1.212 ; 0.58639
1.216 ; 0.597331
1.22 ; 0.608258
1.224 ; 0.619173
1.228 ; 0.630066
1.232 ; 0.640953
1.236 ; 0.651826
1.24 ; 0.662676
1.244 ; 0.673517
1.248 ; 0.684344
1.252 ; 0.695154
1.256 ; 0.70594
1.26 ; 0.716716
1.264 ; 0.727475
1.268 ; 0.738216
1.272 ; 0.748932
1.276 ; 0.759636
1.28 ; 0.770321
1.284 ; 0.780987
1.288 ; 0.791626
1.292 ; 0.802251
1.296 ; 0.812856
1.3 ; 0.823433
1.304 ; 0.833995
1.308 ; 0.844536
1.312 ; 0.855054
1.316 ; 0.865543
1.32 ; 0.876016
1.324 ; 0.886465
1.328 ; 0.896891
1.332 ; 0.907285
1.336 ; 0.917662
1.34 ; 0.928014
1.344 ; 0.93834
1.348 ; 0.948634
1.352 ; 0.958909
1.356 ; 0.969157
1.36 ; 0.979372
1.364 ; 0.989567
1.368 ; 0.999733
1.372 ; 1.00987
1.376 ; 1.01998
1.38 ; 1.03006
1.384 ; 1.04011
1.388 ; 1.05013
1.392 ; 1.06012
1.396 ; 1.07008
1.4 ; 1.08002
1.404 ; 1.08992
1.408 ; 1.09978
1.412 ; 1.10962
1.416 ; 1.11943
1.42 ; 1.1292
1.424 ; 1.13894
1.428 ; 1.14865
1.432 ; 1.15833
1.436 ; 1.16797
1.44 ; 1.17758
1.444 ; 1.18715
1.448 ; 1.19669
1.452 ; 1.20619
1.456 ; 1.21566
1.46 ; 1.22509
1.464 ; 1.23449
1.468 ; 1.24385
1.472 ; 1.25317
1.476 ; 1.26246
1.48 ; 1.2717
1.484 ; 1.28092
1.488 ; 1.29009
1.492 ; 1.29923
1.496 ; 1.30832
1.5 ; 1.31738
1.504 ; 1.3264
1.508 ; 1.33538
1.512 ; 1.34431
1.516 ; 1.35321
1.52 ; 1.36207
1.524 ; 1.37089
1.528 ; 1.37966
1.532 ; 1.3884
1.536 ; 1.39709
1.54 ; 1.40574
1.544 ; 1.41435
1.548 ; 1.42292
1.552 ; 1.43144
1.556 ; 1.43991
1.56 ; 1.44835
1.564 ; 1.45675
1.568 ; 1.46509
1.572 ; 1.47339
1.576 ; 1.48165
1.58 ; 1.48987
1.584 ; 1.49804
1.588 ; 1.50616
1.592 ; 1.51423
1.596 ; 1.52227
1.6 ; 1.53025
1.604 ; 1.53819
1.608 ; 1.54608
1.612 ; 1.55392
1.616 ; 1.56171
1.62 ; 1.56946
1.624 ; 1.57716
1.628 ; 1.58482
1.632 ; 1.59241
1.636 ; 1.59997
1.64 ; 1.60748
1.644 ; 1.61493
1.648 ; 1.62233
1.652 ; 1.62969
1.656 ; 1.637
1.66 ; 1.64425
1.664 ; 1.65145
1.668 ; 1.65861
1.672 ; 1.66571
1.676 ; 1.67276
1.68 ; 1.67976
1.684 ; 1.6867
1.688 ; 1.6936
1.692 ; 1.70044
1.696 ; 1.70723
1.7 ; 1.71396
1.704 ; 1.72065
1.708 ; 1.72727
1.712 ; 1.73385
1.716 ; 1.74037
1.72 ; 1.74684
1.724 ; 1.75325
1.728 ; 1.75961
1.732 ; 1.76592
1.736 ; 1.77216
1.74 ; 1.77836
1.744 ; 1.7845
1.748 ; 1.79058
1.752 ; 1.7966
1.756 ; 1.80257
1.76 ; 1.80849
1.764 ; 1.81435
1.768 ; 1.82014
1.772 ; 1.82589
1.776 ; 1.83157
1.78 ; 1.8372
1.784 ; 1.84277
1.788 ; 1.84829
1.792 ; 1.85374
1.796 ; 1.85914
1.8 ; 1.86448
1.804 ; 1.86976
1.808 ; 1.87498
1.812 ; 1.88014
1.816 ; 1.88524
1.82 ; 1.89028
1.824 ; 1.89527
1.828 ; 1.90019
1.832 ; 1.90505
1.836 ; 1.90986
1.84 ; 1.9146
1.844 ; 1.91928
1.848 ; 1.92391
1.852 ; 1.92847
1.856 ; 1.93296
1.86 ; 1.9374
1.864 ; 1.94178
1.868 ; 1.9461
1.872 ; 1.95035
1.876 ; 1.95454
1.88 ; 1.95867
1.884 ; 1.96274
1.888 ; 1.96675
1.892 ; 1.97069
1.896 ; 1.97457
1.9 ; 1.97838
1.904 ; 1.98214
1.908 ; 1.98583
1.912 ; 1.98946
1.916 ; 1.99302
1.92 ; 1.99652
1.924 ; 1.99996
1.928 ; 2.00333
1.932 ; 2.00664
